_id,Date,Gender,Race,Age at Booking,Current Age
1,2018-09-01,M,B,26,28
2,2018-09-01,M,B,22,24
3,2018-09-01,M,B,25,27
4,2018-09-01,M,B,33,34
5,2018-09-01,M,B,21,22
6,2018-09-01,M,W,24,25
7,2018-09-01,M,W,37,39
8,2018-09-01,M,B,46,47
9,2018-09-01,M,W,25,26
10,2018-09-01,M,W,45,46
11,2018-09-01,M,B,21,22
12,2018-09-01,M,B,27,28
13,2018-09-01,M,W,42,42
14,2018-09-01,M,B,44,45
15,2018-09-01,M,W,34,35
16,2018-09-01,M,B,21,22
17,2018-09-01,M,B,25,26
18,2018-09-01,M,B,26,27
19,2018-09-01,M,B,41,42
20,2018-09-01,M,W,45,46
21,2018-09-01,M,B,23,23
22,2018-09-01,M,W,25,26
23,2018-09-01,M,B,44,44
24,2018-09-01,M,W,33,34
25,2018-09-01,M,W,52,52
26,2018-09-01,M,B,56,56
27,2018-09-01,M,W,20,21
28,2018-09-01,M,B,60,61
29,2018-09-01,M,B,31,31
30,2018-09-01,M,B,23,24
31,2018-09-01,M,B,31,32
32,2018-09-01,M,B,45,45
33,2018-09-01,M,B,21,21
34,2018-09-01,M,B,23,24
35,2018-09-01,M,W,34,34
36,2018-09-01,M,x,21,21
37,2018-09-01,M,B,27,27
38,2018-09-01,M,W,26,27
39,2018-09-01,M,W,33,34
40,2018-09-01,M,W,25,25
41,2018-09-01,M,W,26,26
42,2018-09-01,M,B,20,21
43,2018-09-01,M,B,46,47
44,2018-09-01,M,W,30,30
45,2018-09-01,M,W,39,39
46,2018-09-01,M,B,27,27
47,2018-09-01,M,W,32,32
48,2018-09-01,M,B,26,26
49,2018-09-01,M,W,59,59
50,2018-09-01,M,B,37,38
51,2018-09-01,M,B,24,25
52,2018-09-01,M,W,35,35
53,2018-09-01,M,B,40,40
54,2018-09-01,M,B,27,27
55,2018-09-01,M,B,18,18
56,2018-09-01,M,W,33,34
57,2018-09-01,M,B,38,38
58,2018-09-01,M,B,29,29
59,2018-09-01,M,W,28,29
60,2018-09-01,M,W,31,32
61,2018-09-01,M,B,49,50
62,2018-09-01,M,W,31,31
63,2018-09-01,M,B,36,37
64,2018-09-01,M,W,26,26
65,2018-09-01,M,x,26,26
66,2018-09-01,M,B,23,23
67,2018-09-01,M,B,26,26
68,2018-09-01,M,W,27,27
69,2018-09-01,M,W,30,30
70,2018-09-01,M,B,21,21
71,2018-09-01,M,B,37,37
72,2018-09-01,M,W,23,23
73,2018-09-01,M,U,51,51
74,2018-09-01,M,W,51,52
75,2018-09-01,M,W,25,25
76,2018-09-01,M,W,35,35
77,2018-09-01,M,B,46,46
78,2018-09-01,M,W,27,27
79,2018-09-01,M,W,21,21
80,2018-09-01,M,W,39,39
81,2018-09-01,M,W,26,26
82,2018-09-01,M,B,37,37
83,2018-09-01,M,W,33,33
84,2018-09-01,M,W,47,47
85,2018-09-01,M,B,39,39
86,2018-09-01,M,W,27,27
87,2018-09-01,M,W,36,36
88,2018-09-01,M,B,54,54
89,2018-09-01,M,W,44,44
90,2018-09-01,M,W,26,26
91,2018-09-01,M,W,28,28
92,2018-09-01,M,W,23,23
93,2018-09-01,M,x,26,26
94,2018-09-01,M,W,44,44
95,2018-09-01,M,B,31,31
96,2018-09-01,M,W,33,33
97,2018-09-01,M,B,19,19
98,2018-09-01,M,B,32,32
99,2018-09-01,M,B,27,27
100,2018-09-01,M,B,28,30
101,2018-09-01,M,B,16,18
102,2018-09-01,M,B,21,23
103,2018-09-01,M,B,37,39
104,2018-09-01,M,W,43,45
105,2018-09-01,M,B,22,24
106,2018-09-01,M,B,21,23
107,2018-09-01,M,B,29,30
108,2018-09-01,M,B,17,18
109,2018-09-01,M,B,28,29
110,2018-09-01,M,B,20,21
111,2018-09-01,M,B,29,30
112,2018-09-01,M,B,25,26
113,2018-09-01,M,B,30,31
114,2018-09-01,M,W,19,20
115,2018-09-01,M,B,26,27
116,2018-09-01,M,W,36,37
117,2018-09-01,M,W,29,30
118,2018-09-01,M,B,44,45
119,2018-09-01,M,B,31,31
120,2018-09-01,M,B,44,45
121,2018-09-01,M,B,17,18
122,2018-09-01,M,B,40,41
123,2018-09-01,M,B,29,30
124,2018-09-01,M,B,28,29
125,2018-09-01,M,B,26,27
126,2018-09-01,M,B,28,29
127,2018-09-01,M,B,33,33
128,2018-09-01,M,B,17,18
129,2018-09-01,M,W,42,42
130,2018-09-01,M,W,35,36
131,2018-09-01,M,B,26,26
132,2018-09-01,M,W,31,32
133,2018-09-01,M,B,20,21
134,2018-09-01,M,W,22,23
135,2018-09-01,M,B,22,22
136,2018-09-01,M,B,29,29
137,2018-09-01,M,B,24,24
